country_name,week,weekly_rank,show_title,cumulative_weeks_in_top_10
1,2022-02-27,1,1,1
1,2022-02-27,2,2,2
1,2022-02-27,3,3,1
1,2022-02-27,4,4,2
1,2022-02-27,5,5,4
1,2022-02-27,6,6,2
1,2022-02-27,7,7,1
1,2022-02-27,8,8,1
1,2022-02-27,9,9,1
1,2022-02-27,10,10,4
1,2022-02-27,1,11,9
1,2022-02-27,2,12,3
1,2022-02-27,3,13,1
1,2022-02-27,4,14,15
1,2022-02-27,5,15,1
1,2022-02-27,6,16,35
1,2022-02-27,7,17,5
1,2022-02-27,8,18,6
1,2022-02-27,9,19,2
1,2022-02-27,10,14,17
1,2022-02-20,1,5,3
1,2022-02-20,2,20,1
1,2022-02-20,3,6,1
1,2022-02-20,4,2,1
1,2022-02-20,5,21,2
1,2022-02-20,6,4,1
1,2022-02-20,7,22,1
1,2022-02-20,8,10,3
1,2022-02-20,9,23,1
1,2022-02-20,10,24,1
1,2022-02-20,1,11,8
1,2022-02-20,2,12,2
1,2022-02-20,3,17,4
1,2022-02-20,4,14,14
1,2022-02-20,5,19,1
1,2022-02-20,6,16,34
1,2022-02-20,7,25,5
1,2022-02-20,8,26,3
1,2022-02-20,9,14,16
1,2022-02-20,10,19,1
1,2022-02-13,1,5,2
1,2022-02-13,2,10,2
1,2022-02-13,3,21,1
1,2022-02-13,4,27,2
1,2022-02-13,5,28,1
1,2022-02-13,6,29,1
1,2022-02-13,7,30,1
1,2022-02-13,8,31,2
1,2022-02-13,9,32,1
1,2022-02-13,10,33,5
1,2022-02-13,1,11,7
1,2022-02-13,2,17,3
1,2022-02-13,3,14,13
1,2022-02-13,4,26,2
1,2022-02-13,5,25,4
1,2022-02-13,6,12,1
1,2022-02-13,7,16,33
1,2022-02-13,8,34,1
1,2022-02-13,9,14,15
1,2022-02-13,10,26,1
1,2022-02-06,1,10,1
1,2022-02-06,2,5,1
1,2022-02-06,3,35,1
1,2022-02-06,4,36,2
1,2022-02-06,5,27,1
1,2022-02-06,6,33,4
1,2022-02-06,7,31,1
1,2022-02-06,8,37,1
1,2022-02-06,9,38,1
1,2022-02-06,10,39,1
1,2022-02-06,1,11,6
1,2022-02-06,2,17,2
1,2022-02-06,3,25,3
1,2022-02-06,4,14,12
1,2022-02-06,5,26,1
1,2022-02-06,6,40,2
1,2022-02-06,7,16,32
1,2022-02-06,8,14,14
1,2022-02-06,9,41,1
1,2022-02-06,10,25,3
1,2022-01-30,1,42,2
1,2022-01-30,2,33,3
1,2022-01-30,3,43,1
